address|address_date
24 rue du mail, Paris|1837
5 rue du mail, Paris|1837
15 rue de cléry, Paris|1837
7 rue des fossés montmartre, Paris|1837
66 rue du faubourg poissonnière, Paris|1837
1 rue du mail, Paris|1837
20 rue  des jeuneurs, Paris|1837
9 rue de cléry, Paris|1837
12 rue de cléry, Paris|1837
86 rue du faubourg saint denis, Paris|1837
10 rue  des jeuneurs, Paris|1837
4 rue du faubourg poissonnière, Paris|1837
55 rue du faubourg saint martin, Paris|1837
6 rue  des jeuneurs, Paris|1837
15 rue du mail, Paris|1845
22 rue du mail, Paris|1845
23 rue du mail, Paris|1845
29 rue du mail, Paris|1845
35 rue du mail, Paris|1845
29 rue du caire, Paris|1845
14 rue du marché saint honoré, Paris|1845
5 boulevard des capucines, Paris|1845
54 rue du faubourg saint honoré, Paris|1845
8 boulevard des italiens, Paris|1845
3 rue du faubourg poissonnière, Paris|1845
23 rue du gros chenet, Paris|1835
45 rue des vieux augustins, Paris|1835
20 rue du croissant, Paris|1835
47 rue cléry, Paris|1845
3 rue du faubourg poissonnière, Paris|1837
19 rue des mauvaises paroles, Paris|1837
61 rue du faubourg saint martin, Paris|1837
8 rue  des jeuneurs, Paris|1837
7 rue des deux boules, Paris|1837
20 rue  des jeuneurs, Paris|1837
12 rue des bourdonnais, Paris|1837
12 rue des bourdonnais, Paris|1837
85 rue cléry, Paris|1845
21 rue lune, Paris|1845
40 rue lune, Paris|1845
11 rue notre dame de bonne nouvelle, Paris|1845
28 rue petit carreau, Paris|1845
357 rue saint denis, Paris|1845
11 rue sainte barbe, Paris|1845
20 rue coquillière, Paris|1845
38 rue coquillière, Paris|1845
50 rue croix des petits champs, Paris|1845
52 rue croix des petits champs, Paris|1845
29 rue fossés montmartre, Paris|1845
16 rue mail, Paris|1845
19 rue mail, Paris|1845
26 rue mail, Paris|1845
6 rue neuve des petits champs, Paris|1845
46 rue notre dame des victoires, Paris|1845
3 rue petit reposoir, Paris|1845
6 rue petit reposoir, Paris|1845
5 rue saint pierre montmartre, Paris|1845
17 rue saint pierre montmartre, Paris|1845
1 rue vieux augustins, Paris|1845
40 rue cadran, Paris|1845
12 rue cléry, Paris|1845
38 rue cléry, Paris|1845
34 rue neuve saint eustache, Paris|1845
43 rue neuve saint eustache, Paris|1845
18 rue petite rue saint roch, Paris|1845
25 rue poissonnière, Paris|1845
170 rue montmartre, Paris|1845
57 rue bourbon villeneuve, Paris|1845
31 place de la bourse, Paris|1837
13 rue des fossés montmartre, Paris|1837
13 rue du gros chenet, Paris|1837
13 rue du mail, Paris|1837
7 rue  des jeuneurs, Paris|1837
4 rue  des jeuneurs, Paris|1837
14 rue du faubourg poissonnière, Paris|1837
3 rue  des jeuneurs, Paris|1837
31 rue du faubourg poissonnière, Paris|1837
3 rue des deux boules, Paris|1837
3 rue  des jeuneurs, Paris|1837
8 rue des bourdonnais, Paris|1837
17 rue de cléry, Paris|1837
30 rue du caire, Paris|1837
59 rue bourbon villeneuve, Paris|1845
32 rue caire, Paris|1845
43 rue cléry, Paris|1845
46 rue cléry, Paris|1845
49 rue cléry, Paris|1845
49 rue cléry, Paris|1845
50 rue cléry, Paris|1845
54 rue cléry, Paris|1845
56 rue cléry, Paris|1845
59 rue cléry, Paris|1845
62 rue cléry, Paris|1845
76 rue cléry, Paris|1845
85 rue cléry, Paris|1845
86 rue cléry, Paris|1845
89 rue cléry, Paris|1845
2 rue neuve saint etienne bonne nouvelle, Paris|1845
345 rue saint denis, Paris|1845
